"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Detailed sources of revenue, not-for-profit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Prince Edward Island","2016A000211","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579282","3.1.4","","x","","","1"
"2014","Prince Edward Island","2016A000211","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579283","3.1.5","0.0","","","","1"
"2014","Nova Scotia","2016A000212","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579284","4.1.1","6166.7","","","","1"
"2014","Nova Scotia","2016A000212","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579285","4.1.2","931.9","","","","1"
"2014","Nova Scotia","2016A000212","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579286","4.1.3","2372.7","","","","1"
"2014","Nova Scotia","2016A000212","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579287","4.1.4","2181.3","","","","1"
"2014","Nova Scotia","2016A000212","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579288","4.1.5","","x","","","1"
"2014","New Brunswick","2016A000213","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579289","5.1.1","822.6","","","","1"
"2014","New Brunswick","2016A000213","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579290","5.1.2","555.0","","","","1"
"2014","New Brunswick","2016A000213","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579291","5.1.3","1876.4","","","","1"
"2014","New Brunswick","2016A000213","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579292","5.1.4","1102.4","","","","1"
"2014","New Brunswick","2016A000213","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579293","5.1.5","0.0","","","","1"
"2014","Quebec","2016A000224","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579294","6.1.1","76794.4","","","","1"
"2014","Quebec","2016A000224","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579295","6.1.2","13555.5","","","","1"
"2014","Quebec","2016A000224","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579296","6.1.3","73376.4","","","","1"
"2014","Quebec","2016A000224","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579297","6.1.4","20494.4","","","","1"
"2014","Quebec","2016A000224","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579298","6.1.5","789.6","","","","1"
"2014","Ontario","2016A000235","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579299","7.1.1","108842.1","","","","1"
"2014","Ontario","2016A000235","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579300","7.1.2","23554.2","","","","1"
"2014","Ontario","2016A000235","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579301","7.1.3","44467.4","","","","1"
"2014","Ontario","2016A000235","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579302","7.1.4","79075.6","","","","1"
"2014","Ontario","2016A000235","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579303","7.1.5","186.5","","","","1"
"2014","Manitoba","2016A000246","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579304","8.1.1","10643.9","","","","1"
"2014","Manitoba","2016A000246","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579305","8.1.2","4184.0","","","","1"
"2014","Manitoba","2016A000246","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579306","8.1.3","8149.2","","","","1"
"2014","Manitoba","2016A000246","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579307","8.1.4","5217.4","","","","1"
"2014","Manitoba","2016A000246","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579308","8.1.5","","x","","","1"
"2014","Saskatchewan","2016A000247","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579309","9.1.1","4961.9","","","","1"
"2014","Saskatchewan","2016A000247","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579310","9.1.2","1606.1","","","","1"
"2014","Saskatchewan","2016A000247","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579311","9.1.3","3141.2","","","","1"
"2014","Saskatchewan","2016A000247","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579312","9.1.4","2545.1","","","","1"
"2014","Saskatchewan","2016A000247","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579313","9.1.5","0.0","","","","1"
"2014","Alberta","2016A000248","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579314","10.1.1","32310.4","","","","1"
"2014","Alberta","2016A000248","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579315","10.1.2","9641.1","","","","1"
"2014","Alberta","2016A000248","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579316","10.1.3","18801.8","","","","1"
"2014","Alberta","2016A000248","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579317","10.1.4","23189.8","","","","1"
"2014","Alberta","2016A000248","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579318","10.1.5","4.6","","","","1"
"2014","British Columbia","2016A000259","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579319","11.1.1","32795.1","","","","1"
"2014","British Columbia","2016A000259","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579320","11.1.2","6933.6","","","","1"
"2014","British Columbia","2016A000259","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579321","11.1.3","20446.1","","","","1"
"2014","British Columbia","2016A000259","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579322","11.1.4","21427.3","","","","1"
"2014","British Columbia","2016A000259","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579323","11.1.5","","x","","","1"
"2014","Yukon","2016A000260","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579324","12.1.1","","x","","","1"
"2014","Yukon","2016A000260","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579325","12.1.2","","x","","","1"
"2014","Yukon","2016A000260","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579326","12.1.3","","x","","","1"
"2014","Yukon","2016A000260","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579327","12.1.4","","x","","","1"
"2014","Yukon","2016A000260","Performing arts companies [7111]","Licensing of rights","Dollars","81","thousands","3","v107579328","12.1.5","0.0","","","","1"
"2014","Northwest Territories","2016A000261","Performing arts companies [7111]","Performance revenue","Dollars","81","thousands","3","v107579329","13.1.1","","..","","","1"
"2014","Northwest Territories","2016A000261","Performing arts companies [7111]","Other sales","Dollars","81","thousands","3","v107579330","13.1.2","","..","","","1"
"2014","Northwest Territories","2016A000261","Performing arts companies [7111]","Public sector","Dollars","81","thousands","3","v107579331","13.1.3","","..","","","1"
"2014","Northwest Territories","2016A000261","Performing arts companies [7111]","Private sector","Dollars","81","thousands","3","v107579332","13.1.4","","..","","","1"
